0,CombatZoneResize,239,226,404,391,TLResume
0,HeartTeleport,C
0,HeartMode,0,,,,,,
0,TLPause

0.5,SansTorso,HandLeft
0,SansSlam,2
0.5,SansTorso,HandRight
0,HeartMAxFallSpeed,300
0,SansSlam,0
0,CombatZoneResize,-10,264,650,369,,,,
0.5,Turn13_SansScroll
0,HeartMode,5

5.25,HeartMaxFallSpeed,330,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneSpeed,540,,,,,,,
0,CombatZoneResize,-10,264,410,369,,,,
0.9,Turn13_SansScrollEnd

0,SansTorso,HandLeft,,,,,,,

0.2,BoneStab,0,50,0.4,1,,,,
0.9,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.25,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,Turn13_SansXReset
0.15,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,

1,Turn13_End
0,EndAttack
