0,CombatZoneResize,133,251,508,391,TLResume
0,HeartTeleport,320,378,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,PurpleHeart,3,0,,,
,CreateLine,143,261,498,381,
,,,,,,
,,,,,,
,,,,,,
5,CombatZoneResize,133,120,508,391,
,LineSetSpace,0.85,,,,
0,AutoCreateLine,6,,,,
,CreateLine,143,130,498,381,
,,,,,,
5,CombatZoneResize,133,251,508,391,TLResume
0,PurpleHeart,3,1,,,
,CreateLine,143,261,498,381,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,CombatZoneResize,133,120,508,391,TLResume
,LineSetSpace,0.85,,,,
0,AutoCreateLine,6,,,,
,CreateLine,143,130,498,381,
,,,,,,
5,DestroyLine,,,,,
,LineTargetChange,,,,,
,HeartLineTeleport,0,,,,
,CreateLine,260,200,380,320,
,CreateLine,380,200,260,320,
,,,,,,
,,,,,,
,,,,,,
10,EndAttack,,,,,
