0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,378,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,PlatformRepeat,563,349,121,0,180,120,5,220,1
0,PlatformRepeat,-11,309,161,0,0,120,4,280,1
0,SET,Loop,16,,,,,
0,JMPZ,22,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,Bone,T,517,251,37,0,180,120,0,
0.5,JMPABS,8,,,,,,
0,Bone,T,125,310,18,0,0,120,-0,
0.5,JMPABS,8,,,,,,
0,Bone,B,517,391,20,0,180,120,0,
0.5,JMPABS,8,,,,,,
0,EndAttack,,,,,,,
